drone_id,status,distance_flown,flight_time,waiting_time,battery_used,remaining_battery,completed_tasks,base_link,hop_count
D-01,completed,7284.546789141022,485.6364526094773,4.049999999999994,182.11366972856754,37.88633027143246,1,direct,1
D-02,failed,1583.3999999999576,75.39999999999789,4.6499999999999915,47.50199999999114,107.49800000000886,0,lost,
D-03,completed,6825.353506423029,525.0271928019275,4.399999999999992,184.28454467345153,25.715455326548454,1,direct,1
