drone_id,status,distance_flown,flight_time,waiting_time,battery_used,remaining_battery,completed_tasks,base_link,hop_count
D-01,returning,510.9482300479495,51.094823004794186,9.049999999999994,15.32844690142457,184.67155309857543,2,direct,1
D-02,failed,917.8818939101059,50.99343855056154,9.099999999999994,22.947047347746675,77.05295265225332,2,lost,
D-03,returning,770.4890854064282,55.03493467188597,5.04999999999999,19.26222713516829,120.73777286483171,1,relay,2
D-04,completed,660.2940716399313,50.79185166461032,6.0499999999999865,18.488234005911437,101.51176599408856,1,direct,1
D-05,executing,624.6508607023883,52.054238391863855,7.99999999999998,12.493017214047995,167.506982785952,2,direct,1
